title,links
Signal Protocol and Post-Quantum Ratchets,https://signal.org/blog/spqr/
"We bought the whole GPU, so we're damn well going to use the whole GPU",https://hazyresearch.stanford.edu/blog/2025-09-28-tp-llama-main
N8n added native persistent storage with DataTables,https://community.n8n.io/t/data-tables-are-here/192256
The history of cataract surgery,https://www.asimov.press/p/cataracts
Launch HN: Simplex (YC S24) â€“ Browser automation platform for developers,https://www.simplex.sh/
The Atlantic Quantum team is joining Google,https://blog.google/technology/research/scaling-quantum-computing-even-faster-with-atlantic-quantum/
Liva AI (YC S25) Is Hiring,https://www.ycombinator.com/companies/liva-ai/jobs/6xM8JYU-founding-operations-lead
"Two Amazon delivery drones crash into crane in commercial area of Tolleson, AZ",https://www.abc15.com/news/region-west-valley/tolleson/two-amazon-delivery-drones-crash-into-crane-in-commercial-area-of-tolleson
Work is not school: Surviving institutional stupidity,https://www.leadingsapiens.com/surviving-institutional-stupidity/
NL Judge: Meta must respect user's choice of recommendation system,https://www.bitsoffreedom.nl/2025/10/02/judge-in-the-bits-of-freedom-vs-meta-lawsuit-meta-must-respect-users-choice/
